ip_address,minute,requests_per_min,unique_endpoints,error_rate,avg_response_size,burst_rate,login_attempts,protocol_http,same_endpoint_ratio,attack_type,label
192.168.1.125,2026-04-02 08:38,116,1,0.735,290,25,69,1,0.657,BruteForce,1
192.168.2.253,2026-04-02 08:17,46,12,0.055,261,7,0,1,0.283,Normal,0
192.168.3.67,2026-04-02 08:03,41,15,0.023,1271,5,0,1,0.254,Normal,0
192.168.7.62,2026-04-02 08:38,898,3,0.15,168,174,0,1,0.821,DDoS,1
192.168.8.63,2026-04-02 08:28,117,65,0.348,1145,27,5,0,0.095,Scanning,1
192.168.2.168,2026-04-02 08:59,159,23,0.115,702,14,3,1,0.133,Scanning,1
192.168.10.56,2026-04-02 08:34,42,13,0.001,1250,8,2,1,0.212,Normal,0
192.168.4.82,2026-04-02 08:09,39,7,0.008,475,6,2,1,0.074,Normal,0
192.168.2.37,2026-04-02 08:11,51,13,0.053,772,8,2,1,0.023,Normal,0
192.168.10.23,2026-04-02 08:12,20,9,0.063,359,9,2,1,0.094,Normal,0
192.168.4.223,2026-04-02 08:24,65,2,0.416,364,41,108,1,0.701,BruteForce,1
192.168.3.161,2026-04-02 08:55,17,7,0.066,1098,1,1,1,0.021,Normal,0
192.168.10.12,2026-04-02 08:07,361,4,0.103,171,123,0,1,0.854,DDoS,1
192.168.6.62,2026-04-02 08:00,43,9,0.003,834,9,2,1,0.256,Normal,0
192.168.5.101,2026-04-02 08:53,6,14,0.068,1255,7,2,1,0.133,Normal,0
192.168.10.114,2026-04-02 08:58,173,68,0.28,1587,28,2,0,0.128,Scanning,1
192.168.1.167,2026-04-02 08:54,144,1,0.764,534,54,31,1,0.988,BruteForce,1
192.168.6.97,2026-04-02 08:18,443,1,0.074,123,188,0,1,0.723,DDoS,1
192.168.9.134,2026-04-02 08:30,33,7,0.027,1378,5,0,1,0.099,Normal,0
192.168.6.103,2026-04-02 08:30,10,10,0.077,1211,10,0,1,0.118,Normal,0
192.168.2.240,2026-04-02 08:24,782,4,0.141,384,124,0,1,0.816,DDoS,1
192.168.5.208,2026-04-02 08:18,130,66,0.159,1191,11,0,1,0.012,Scanning,1
192.168.1.218,2026-04-02 08:23,31,15,0.049,1087,6,2,1,0.267,Normal,0
192.168.1.224,2026-04-02 08:28,56,5,0.083,1264,6,1,1,0.174,Normal,0
192.168.3.165,2026-04-02 08:10,41,4,0.078,1401,6,2,1,0.007,Normal,1
