ip_address,minute,requests_per_min,unique_endpoints,error_rate,avg_response_size,burst_rate,login_attempts,protocol_http,same_endpoint_ratio,attack_type,label
192.168.7.123,2026-04-02 08:01,47,3,0.066,356,5,2,1,0.062,Normal,0
192.168.8.248,2026-04-02 08:06,32,8,0.098,827,10,0,1,0.215,Normal,0
192.168.4.30,2026-04-02 08:13,43,3,0.063,982,6,1,1,0.057,Normal,0
192.168.2.222,2026-04-02 08:35,15,13,0.002,1490,5,2,1,0.194,Normal,0
192.168.7.60,2026-04-02 08:45,29,10,0.098,403,6,1,1,0.26,Normal,0
192.168.8.113,2026-04-02 08:46,10,11,0.004,1084,6,2,1,0.075,Normal,0
192.168.10.164,2026-04-02 08:49,6,13,0.073,780,2,0,1,0.135,Normal,0
192.168.5.66,2026-04-02 08:08,21,12,0.096,735,5,1,1,0.016,Normal,0
192.168.7.47,2026-04-02 08:13,23,12,0.005,1438,7,2,1,0.192,Normal,0
192.168.3.122,2026-04-02 08:40,60,2,0.032,306,3,2,1,0.242,Normal,0
192.168.7.247,2026-04-02 08:04,20,15,0.004,873,4,0,1,0.116,Normal,0
192.168.8.55,2026-04-02 08:48,44,6,0.069,1205,4,0,1,0.041,Normal,0
192.168.10.251,2026-04-02 08:15,11,13,0.093,545,2,1,1,0.293,Normal,0
192.168.10.188,2026-04-02 08:14,26,8,0.035,803,5,0,1,0.011,Normal,0
192.168.8.88,2026-04-02 08:21,44,14,0.01,471,3,1,1,0.134,Normal,1
192.168.2.36,2026-04-02 08:53,775,3,0.243,219,185,0,1,0.767,DDoS,1
192.168.6.227,2026-04-02 08:53,48,7,0.064,1127,5,0,1,0.199,Normal,0
192.168.6.193,2026-04-02 08:41,153,1,0.904,247,58,43,1,0.784,BruteForce,1
192.168.4.98,2026-04-02 08:04,8,9,0.044,606,4,1,1,0.177,Normal,0
192.168.1.254,2026-04-02 08:04,49,12,0.053,717,9,1,1,0.001,Normal,0
192.168.9.147,2026-04-02 08:26,35,9,0.056,520,9,0,1,0.117,Normal,0
192.168.8.169,2026-04-02 08:49,7,7,0.04,1019,2,2,1,0.225,Normal,0
192.168.6.135,2026-04-02 08:37,49,9,0.072,1213,8,1,1,0.174,Normal,0
192.168.5.114,2026-04-02 08:42,45,4,0.013,549,1,0,1,0.199,Normal,0
192.168.7.106,2026-04-02 08:17,346,3,0.068,173,199,0,1,0.829,DDoS,1
192.168.7.114,2026-04-02 08:21,29,3,0.055,1171,3,0,1,0.209,Normal,0
192.168.8.200,2026-04-02 08:36,355,3,0.122,386,121,0,1,0.847,DDoS,1
192.168.2.7,2026-04-02 08:33,10,7,0.055,1422,10,1,1,0.259,Normal,0
192.168.7.115,2026-04-02 08:54,105,22,0.232,1690,27,5,1,0.113,Scanning,1
192.168.8.33,2026-04-02 08:06,52,6,0.073,1344,3,2,1,0.27,Normal,0
192.168.8.140,2026-04-02 08:42,15,7,0.066,960,9,2,1,0.044,Normal,0
192.168.1.68,2026-04-02 08:33,18,2,0.092,1015,9,1,1,0.189,Normal,0
192.168.3.65,2026-04-02 08:32,152,66,0.161,739,30,4,1,0.075,Scanning,1
192.168.1.23,2026-04-02 08:56,812,3,0.082,184,164,0,1,0.741,DDoS,1
192.168.1.85,2026-04-02 08:15,6,9,0.003,495,7,0,1,0.162,Normal,0
192.168.8.66,2026-04-02 08:55,49,15,0.099,377,9,2,1,0.236,Normal,0
192.168.10.68,2026-04-02 08:35,117,43,0.178,1044,23,4,1,0.028,Scanning,1
192.168.10.235,2026-04-02 08:45,145,50,0.295,555,22,2,1,0.031,Scanning,1
192.168.1.148,2026-04-02 08:36,125,1,0.764,294,24,135,1,0.673,BruteForce,1
192.168.5.102,2026-04-02 08:59,21,2,0.053,283,4,1,1,0.072,Normal,0
192.168.2.12,2026-04-02 08:49,570,1,0.144,174,154,0,1,0.728,DDoS,1
192.168.5.21,2026-04-02 08:31,835,1,0.091,382,167,0,1,0.857,DDoS,1
192.168.4.138,2026-04-02 08:29,33,4,0.042,770,8,0,1,0.262,Normal,0
192.168.9.253,2026-04-02 08:05,40,11,0.032,1106,10,2,1,0.268,Normal,0
192.168.9.61,2026-04-02 08:58,17,3,0.099,395,10,1,1,0.259,Normal,0
192.168.9.29,2026-04-02 08:56,989,3,0.162,198,138,0,1,0.763,DDoS,1
192.168.4.128,2026-04-02 08:43,122,2,0.793,356,22,45,1,0.785,BruteForce,1
192.168.7.28,2026-04-02 08:05,1001,3,0.217,392,171,0,1,0.883,DDoS,1
192.168.7.125,2026-04-02 08:41,7,10,0.072,1439,9,1,1,0.298,Normal,0
192.168.2.108,2026-04-02 08:19,57,5,0.039,911,7,2,1,0.297,Normal,0
192.168.3.250,2026-04-02 08:45,67,68,0.377,1816,11,3,0,0.136,Scanning,1
192.168.4.70,2026-04-02 08:58,547,4,0.118,179,125,0,1,0.966,DDoS,1
192.168.8.183,2026-04-02 08:51,36,10,0.013,362,3,2,1,0.179,Normal,0
192.168.6.194,2026-04-02 08:26,27,3,0.086,685,6,2,1,0.225,Normal,0
192.168.3.107,2026-04-02 08:04,20,4,0.09,1084,8,1,1,0.273,Normal,0
192.168.3.189,2026-04-02 08:18,16,8,0.041,1173,10,2,1,0.084,Normal,0
192.168.8.178,2026-04-02 08:23,49,9,0.06,878,10,2,1,0.289,Normal,0
192.168.5.8,2026-04-02 08:48,16,6,0.07,832,6,1,1,0.002,Normal,0
192.168.4.97,2026-04-02 08:50,39,4,0.038,452,2,1,1,0.065,Normal,0
192.168.8.42,2026-04-02 08:50,5,2,0.018,637,10,1,1,0.161,Normal,0
192.168.2.126,2026-04-02 08:37,15,8,0.052,1314,1,2,1,0.029,Normal,0
192.168.10.84,2026-04-02 08:05,79,2,0.564,415,36,105,1,0.952,BruteForce,1
192.168.1.60,2026-04-02 08:47,185,2,0.502,225,50,78,1,0.668,BruteForce,1
192.168.1.232,2026-04-02 08:12,169,2,0.857,385,39,119,1,0.944,BruteForce,1
192.168.4.183,2026-04-02 08:23,24,8,0.1,964,8,2,1,0.135,Normal,0
192.168.9.5,2026-04-02 08:53,45,3,0.075,798,5,0,1,0.104,Normal,0
192.168.3.75,2026-04-02 08:30,101,3,0.815,348,51,148,1,0.837,BruteForce,1
192.168.7.235,2026-04-02 08:55,5,11,0.068,1002,6,2,1,0.238,Normal,0
192.168.10.96,2026-04-02 08:12,44,53,0.293,438,18,5,0,0.14,Scanning,1
192.168.10.226,2026-04-02 08:34,179,32,0.295,1234,12,5,0,0.066,Scanning,1
192.168.1.177,2026-04-02 08:47,27,8,0.046,1145,6,1,1,0.139,Normal,0
192.168.8.182,2026-04-02 08:24,14,8,0.018,1268,5,2,1,0.242,Normal,0
192.168.1.189,2026-04-02 08:47,16,9,0.052,1350,2,1,1,0.232,Normal,0
192.168.8.60,2026-04-02 08:56,39,5,0.075,315,3,2,1,0.298,Normal,0
192.168.7.225,2026-04-02 08:41,50,6,0.031,1131,8,2,1,0.242,Normal,0
192.168.4.184,2026-04-02 08:38,12,15,0.07,1046,2,1,1,0.062,Normal,0
192.168.7.62,2026-04-02 08:51,41,4,0.043,839,10,1,1,0.135,Normal,0
192.168.3.208,2026-04-02 08:41,40,3,0.035,556,8,2,1,0.143,Normal,1
192.168.6.115,2026-04-02 08:07,44,7,0.035,945,7,0,1,0.062,Normal,0
192.168.8.117,2026-04-02 08:22,648,3,0.187,145,197,0,1,0.748,DDoS,1
192.168.8.215,2026-04-02 08:11,354,4,0.211,101,98,0,1,0.959,DDoS,1
192.168.6.66,2026-04-02 08:01,56,6,0.098,1409,3,0,1,0.096,Normal,0
192.168.6.234,2026-04-02 08:33,188,3,0.478,341,55,73,1,0.897,BruteForce,1
192.168.9.38,2026-04-02 08:55,51,6,0.008,1108,1,1,1,0.183,Normal,0
192.168.3.180,2026-04-02 08:24,6,11,0.043,1118,4,0,1,0.001,Normal,0
192.168.4.186,2026-04-02 08:33,56,7,0.082,1300,1,2,1,0.26,Normal,0
192.168.2.4,2026-04-02 08:43,44,10,0.051,623,9,1,1,0.165,Normal,0
192.168.1.85,2026-04-02 08:55,10,15,0.075,499,1,1,1,0.233,Normal,0
192.168.3.232,2026-04-02 08:47,58,2,0.429,469,35,114,1,0.997,BruteForce,1
192.168.1.22,2026-04-02 08:59,175,2,0.564,289,24,80,1,0.71,BruteForce,1
192.168.2.157,2026-04-02 08:03,944,2,0.073,291,142,0,1,0.789,DDoS,1
192.168.1.87,2026-04-02 08:48,57,14,0.03,774,8,2,1,0.205,Normal,0
192.168.9.78,2026-04-02 08:37,34,12,0.096,324,8,1,1,0.128,Normal,0
192.168.9.67,2026-04-02 08:35,24,15,0.022,749,9,0,1,0.051,Normal,0
192.168.9.153,2026-04-02 08:17,38,7,0.043,474,6,1,1,0.108,Normal,0
192.168.1.120,2026-04-02 08:50,163,26,0.301,656,17,5,1,0.141,Scanning,1
192.168.8.209,2026-04-02 08:00,12,5,0.011,1216,2,2,1,0.247,Normal,0
192.168.5.160,2026-04-02 08:26,678,1,0.277,210,127,0,1,0.715,DDoS,1
192.168.3.64,2026-04-02 08:13,14,13,0.032,706,7,1,1,0.043,Normal,0
192.168.6.43,2026-04-02 08:19,43,11,0.096,434,3,1,1,0.032,Normal,0
192.168.2.84,2026-04-02 08:53,15,10,0.034,1128,9,2,1,0.233,Normal,1
192.168.7.107,2026-04-02 08:49,53,2,0.075,781,9,2,1,0.147,Normal,0
192.168.9.62,2026-04-02 08:31,31,2,0.068,759,10,2,1,0.233,Normal,0
192.168.1.15,2026-04-02 08:49,136,2,0.928,322,55,60,1,0.916,BruteForce,1
192.168.5.223,2026-04-02 08:45,39,7,0.088,740,7,2,1,0.146,Normal,1
192.168.1.73,2026-04-02 08:08,36,11,0.088,1163,5,2,1,0.002,Normal,0
192.168.9.84,2026-04-02 08:31,7,9,0.066,1065,10,2,1,0.27,Normal,0
